transcript	gene	chr	n_exons	tx_start	tx_end	bp	mu_syn	mu_mis	mu_lof	n_syn	n_mis	n_lof	exp_syn	exp_mis	exp_lof	syn_z	mis_z	lof_z	pLI
ENST00000379370.2	AGRN	1	36	955552	990361	6138	5.46202903942e-05	0.000102206705685	4.84827940844e-06	517	829	13	445.215538582	837.314601016	54.4169577045	-2.10908922369982	0.140544378072657	5.56161315048255	0.17335234048116
ENST00000327044.6	NOC2L	1	19	880073	894620	2250	1.41617661916e-05	2.89834335593e-05	2.06532877148e-06	227	394	29	154.668965626	311.833215516	28.8835117936	-3.60555628871566	-2.27589188516337	-0.0214707226193315	1.33038194561114e-19
ENST00000379198.2	B3GALT6	1	1	1167658	1168648	990	1.35073750512e-05	2.44746571282e-05	4.56195992344e-07	48	69	2	82.4033008825699	149.127738504833	3.00051646718059	2.34951019052966	3.20937144226326	0.572157937376852	0.0481044658297901
ENST00000421241.2	C1orf159	1	8	1018272	1026923	597	5.25022633482e-06	9.83494464441e-06	5.87897926918e-07	33	57	2	25.7709311205	50.8764423936	4.39233089002	-0.882809177833097	-0.419915664662871	1.13074167923442	0.0908776364218918
ENST00000379389.4	ISG15	1	2	948953	949858	498	4.12649833217e-06	7.24825916914e-06	2.3587219008e-07	44	79	3	47.5922764	82.9624756	3.51067386	0.322813272682925	0.212785810450386	0.269984022947795	0.00984781293610986
ENST00000338591.3	KLHL17	1	12	896073	900571	1929	1.78805630431e-05	3.32900286697e-05	1.69997575614e-06	230	277	13	159.550602981	297.290097922	18.8324542665	-3.45762228519753	0.575586310599741	1.33133551967544	2.51676266070248e-07
ENST00000379410.3	PLEKHN1	1	16	901911	909955	1836	1.32877771762e-05	2.62304667132e-05	1.79324087296e-06	152	335	15	120.689903607	231.456248348	21.149709801	-1.76684505407321	-3.32894156576519	1.32462257458813	2.01974835522321e-08
ENST00000342066.3	SAMD11	1	13	861321	879533	2046	1.64351319474e-05	3.11533293089e-05	1.87512921445e-06	182	364	17	127.708247723	243.266475444	20.0050310792	-2.97834035334707	-3.78619594189517	0.665532130408016	1.35381157129201e-10
ENST00000335137.3	OR4F5	1	1	69090	70008	918	3.4330396312e-06	7.97578716521e-06	2.1939198907e-07	5	8	1	30.0160402353984	69.3111685279332	2.21771909905792	2.83068371873305	3.60208899915439	0.809997225898549	0.176329298172162
ENST00000428771.2	HES4	1	3	934438	935353	744	9.13435314055e-06	1.63509129645e-05	3.60445809394e-07	46	72	5	59.5578641056	110.748770953	3.48952835086	1.0891082897386	1.80096446545711	-0.800974874663977	0.00014794288110518
ENST00000330388.2	FAM132A	1	8	1177927	1182070	909	7.88796663086e-06	1.54391344564e-05	8.25594113962e-07	59	109	7	50.0401126983	95.7954160882	7.81816804543	-0.78522309617124	-0.659885729009745	0.289854277608145	4.67625423888147e-05
ENST00000328596.6	TNFRSF18	1	4	1138970	1141951	768	6.20911662378e-06	1.25026496444e-05	5.62780869291e-07	50	107	8	40.6872453514	81.9444184769	5.56843227574	-0.905103495835216	-1.35382095030263	-1.020727044776	8.36589277636991e-07
ENST00000360001.6	SDF4	1	6	1152891	1164173	1089	8.9231183596e-06	1.55626005629e-05	7.06615456754e-07	91	143	6	102.577363355	176.496518405	10.3871847509	0.708654553166387	1.23324063056091	1.34842470071676	0.0013098271899439
ENST00000379236.3	TNFRSF4	1	7	1146934	1149507	834	6.17316719572e-06	1.20092709492e-05	5.42576604571e-07	58	100	4	51.1343925742	98.0747560107	6.42765262727	-0.595212514054129	-0.0950873440179077	0.948527747241115	0.00720932981621916
